predclass,age,workclass,occupation,native-country,education,marital-status,education-num,hours-per-week,capital-gain,capital-loss,race,sex,relationship,age-hours,sex-marital
0,22,1,1,1,1,1,12,39,27,0,4,1,1,695,6
0,33,2,2,1,1,0,12,12,0,0,4,1,0,334,5
0,21,3,3,1,4,3,8,39,0,0,4,1,1,683,8
0,36,3,3,1,3,0,6,39,0,0,2,1,0,890,5
0,11,3,4,2,1,0,12,39,0,0,2,0,5,530,0
0,20,3,2,1,5,0,13,39,0,0,4,0,5,669,0
0,32,3,5,2,3,2,4,15,0,0,2,0,1,391,2
1,35,2,2,1,4,0,8,44,0,0,4,1,0,960,5
1,14,3,4,1,5,1,13,49,109,0,4,0,1,691,1
1,25,3,2,1,1,0,12,39,81,0,4,1,0,738,5
1,20,3,2,1,4,0,9,78,0,0,2,1,0,1127,5
1,13,1,4,3,1,0,12,39,0,0,1,1,0,562,5
0,6,3,1,1,1,1,12,29,0,0,4,0,3,351,1
0,15,3,2,1,0,1,11,49,0,0,2,1,1,709,6
1,23,3,3,0,0,0,10,39,0,0,1,1,0,709,5
0,17,3,3,2,3,0,3,44,0,0,0,1,0,686,5
0,8,2,3,1,4,1,8,34,0,0,4,1,3,428,6
0,15,3,3,1,4,1,8,39,0,0,4,1,4,595,6
0,21,3,2,1,3,0,6,49,0,0,4,1,0,818,5
1,26,2,2,1,5,3,13,44,0,0,4,0,4,828,3
1,23,3,4,1,2,0,15,59,0,0,4,1,0,979,5
0,37,3,5,1,4,3,8,19,0,0,2,0,4,513,3
0,18,4,3,1,3,0,4,39,0,0,2,1,0,638,5
0,26,3,3,1,3,0,6,39,0,59,4,1,0,753,5
0,42,3,2,1,4,3,8,39,0,0,4,0,4,967,3
1,39,1,2,1,1,0,12,39,0,0,4,1,0,928,5
0,2,3,3,1,4,1,8,39,0,0,4,1,3,382,6
1,37,0,0,4,4,0,9,59,0,0,1,1,0,1185,5
0,22,3,2,1,4,3,8,78,0,0,4,1,1,1161,8
0,32,3,3,1,4,0,8,39,0,0,4,1,0,836,5
0,6,1,6,1,0,1,11,51,0,0,4,1,1,560,6
0,3,3,2,1,4,1,9,43,0,0,2,1,3,430,6
0,28,3,2,1,1,3,12,39,0,15,4,1,3,782,8
0,13,4,1,1,4,0,9,39,0,0,4,1,3,562,5
0,5,1,5,1,4,0,9,14,0,0,2,1,0,183,5
0,31,3,3,2,3,1,6,39,0,0,4,1,4,823,6
0,4,3,3,1,4,1,9,39,0,0,4,1,3,414,6
0,2,3,1,1,4,0,8,24,0,0,4,0,5,255,0
1,14,3,2,0,4,0,9,37,0,0,4,1,0,553,5
0,31,2,4,1,0,0,11,39,0,0,4,1,0,823,5
0,14,3,3,1,3,0,4,42,0,0,4,1,0,616,5
0,36,2,4,1,1,0,12,39,0,0,4,1,0,890,5
0,7,3,2,1,1,0,12,49,0,0,4,1,0,562,5
0,32,3,1,1,4,3,8,39,0,0,4,0,4,836,3
0,8,3,3,1,4,1,8,34,0,0,4,1,1,428,6
1,40,4,4,1,1,0,12,39,0,0,2,1,0,943,5
0,36,3,3,1,4,0,8,37,0,0,4,1,0,854,5
0,27,3,2,1,5,3,13,39,0,0,4,0,4,766,3
0,24,1,3,1,0,0,10,39,0,0,4,1,0,722,5
0,12,3,4,1,0,1,10,42,0,0,4,1,1,581,6
0,8,3,2,1,4,0,9,39,0,0,3,0,5,478,0
0,1,3,5,0,4,1,8,29,0,0,4,0,3,285,1
1,30,3,4,2,6,0,14,59,0,51,4,0,5,1096,0
1,33,4,2,1,1,3,12,54,0,0,4,1,1,1078,8
0,30,2,2,1,4,3,8,59,0,0,4,1,1,1096,8
1,26,3,2,1,4,0,9,39,0,0,4,1,0,753,5
0,29,3,3,2,3,0,2,39,0,0,4,1,0,796,5
0,18,3,5,2,0,0,10,39,0,0,4,1,0,638,5
0,24,3,1,1,4,0,8,47,0,0,4,1,0,838,5
0,13,3,3,1,4,0,8,39,79,0,4,1,0,562,5
0,13,3,2,1,1,0,12,39,36,0,4,1,0,562,5
0,15,0,0,0,3,2,3,39,0,0,4,1,1,595,7
0,31,3,3,1,4,0,8,39,0,0,4,1,0,823,5
1,25,3,4,1,2,0,15,44,0,0,4,1,0,814,5
0,12,3,2,1,4,3,9,57,0,0,4,1,1,740,8
0,19,3,3,1,4,0,8,39,0,0,4,1,0,654,5
0,11,3,1,1,4,3,9,39,0,0,4,0,1,530,3
1,36,3,1,1,4,0,8,39,0,0,4,0,5,890,0
1,32,2,2,1,4,0,9,49,0,0,4,1,0,995,5
0,8,0,0,1,4,1,9,39,0,0,4,1,3,478,6
0,2,3,4,1,4,1,9,31,0,0,4,1,3,314,6
0,14,3,2,1,1,3,12,39,0,0,2,0,3,579,3
1,12,2,2,1,1,0,12,69,0,0,4,1,0,861,5
0,6,3,3,1,4,1,9,39,0,0,4,1,1,445,6
0,62,3,4,1,4,0,9,19,0,0,4,1,2,700,5
0,10,3,5,2,4,1,8,39,0,0,4,1,3,513,6
0,23,3,1,1,0,0,11,39,0,0,4,1,0,709,5
0,50,0,0,1,3,0,5,1,0,0,4,1,0,63,5
0,1,3,5,1,3,1,6,21,0,0,4,0,3,215,1
0,14,1,3,1,3,0,3,39,0,0,4,1,0,579,5
0,1,3,2,1,4,1,8,29,0,0,4,1,1,285,6
0,35,3,5,2,1,0,12,39,0,0,4,1,0,878,5
